id,address,altitude,course,latitude,longitude,other,power,speed,time,valid,device_id
1164,\N,154.2,44.4,41.804761,-72.24993,<info><protocol>t55</protocol><battery>70</battery></info>,\N,12.15,2/24/2014 16:19,1,3
1165,\N,170.7,120.1,41.805921,-72.247179,<info><protocol>t55</protocol><battery>69</battery></info>,\N,22.86,2/24/2014 16:20,1,3
1166,\N,151.1,64.6,41.805703,-72.245231,<info><protocol>t55</protocol><battery>69</battery></info>,\N,4.86,2/24/2014 16:21,1,3
1167,\N,161,330.2,41.809011,-72.247445,<info><protocol>t55</protocol><battery>69</battery></info>,\N,15.55,2/24/2014 16:22,1,3
1168,\N,160.8,344.4,41.809695,-72.247914,<info><protocol>t55</protocol><battery>69</battery></info>,\N,2.92,2/24/2014 16:23,1,3
1169,\N,165.9,315.6,41.809866,-72.247971,<info><protocol>t55</protocol><battery>69</battery></info>,\N,1.94,2/24/2014 16:24,1,3
1170,\N,151.3,52.9,41.81146,-72.24729,<info><protocol>t55</protocol><battery>69</battery></info>,\N,8.49,2/24/2014 16:26,1,3
1171,\N,141.6,43.4,41.813338,-72.244211,<info><protocol>t55</protocol><battery>69</battery></info>,\N,15.19,2/24/2014 16:26,1,3
1172,\N,145.4,0,41.816268,-72.243086,<info><protocol>t55</protocol><battery>69</battery></info>,\N,0,2/24/2014 16:28,1,3
1173,\N,160.1,215.2,41.813972,-72.243691,<info><protocol>t55</protocol><battery>69</battery></info>,\N,17.49,2/24/2014 16:28,1,3
1174,\N,137.4,237.6,41.811188,-72.247901,<info><protocol>t55</protocol><battery>69</battery></info>,\N,17.98,2/24/2014 16:29,1,3
1175,\N,162.5,49,41.810843,-72.248651,<info><protocol>t55</protocol><battery>69</battery></info>,\N,1.94,2/24/2014 16:30,1,3
1176,\N,189.2,9.3,41.811135,-72.249473,<info><protocol>t55</protocol><battery>69</battery></info>,\N,2.43,2/24/2014 16:31,1,3
1177,\N,152.9,358.1,41.811296,-72.249419,<info><protocol>t55</protocol><battery>68</battery></info>,\N,0.49,2/24/2014 16:32,1,3
1178,\N,182,0,41.811381,-72.251077,<info><protocol>t55</protocol><battery>68</battery></info>,\N,0,2/24/2014 16:33,1,3
1179,\N,167.7,261.6,41.811449,-72.254492,<info><protocol>t55</protocol><battery>68</battery></info>,\N,17.98,2/24/2014 16:34,1,3
1180,\N,181.4,139,41.810486,-72.256839,<info><protocol>t55</protocol><battery>68</battery></info>,\N,0.97,2/24/2014 16:35,1,3
1181,\N,171.1,248.1,41.809904,-72.258688,<info><protocol>t55</protocol><battery>68</battery></info>,\N,16.78,2/24/2014 16:36,1,3
1182,\N,162.5,107.4,41.808452,-72.258729,<info><protocol>t55</protocol><battery>68</battery></info>,\N,19.29,2/24/2014 16:37,1,3
1183,\N,200.8,138,41.807592,-72.255824,<info><protocol>t55</protocol><battery>68</battery></info>,\N,13.61,2/24/2014 16:38,1,3
1184,\N,165.6,0,41.80635,-72.254622,<info><protocol>t55</protocol><battery>68</battery></info>,\N,0,2/24/2014 16:39,1,3
1185,\N,165.5,0,41.806352,-72.254644,<info><protocol>t55</protocol><battery>68</battery></info>,\N,0,2/24/2014 16:40,1,3
1186,\N,173.3,160.4,41.805371,-72.253564,<info><protocol>t55</protocol><battery>68</battery></info>,\N,3.89,2/24/2014 16:41,1,3
1187,\N,185.6,141.2,41.804832,-72.253047,<info><protocol>t55</protocol><battery>68</battery></info>,\N,0.49,2/24/2014 16:42,1,3
1188,\N,180.3,137.4,41.80434,-72.252413,<info><protocol>t55</protocol><battery>68</battery></info>,\N,9.72,2/24/2014 16:43,1,3
1189,\N,166.2,137.4,41.803967,-72.250974,<info><protocol>t55</protocol><battery>68</battery></info>,\N,0.49,2/24/2014 16:44,1,3
