id,address,altitude,course,latitude,longitude,other,power,speed,time,valid,device_id
620,\N,423,187.3,41.802457,-72.255813,<info><protocol>t55</protocol><battery>80</battery></info>,\N,3.4,2/18/2014 15:05,1,3
621,\N,423,187.3,41.802457,-72.255813,<info><protocol>t55</protocol><battery>80</battery></info>,\N,3.4,2/18/2014 15:05,1,3
622,\N,198.7,175.1,41.801215,-72.255581,<info><protocol>t55</protocol><battery>79</battery></info>,\N,15.37,2/18/2014 15:05,1,3
623,\N,168.7,181.7,41.800324,-72.255314,<info><protocol>t55</protocol><battery>79</battery></info>,\N,8.26,2/18/2014 15:06,1,3
624,\N,158.1,239.7,41.79959,-72.255631,<info><protocol>t55</protocol><battery>79</battery></info>,\N,8.96,2/18/2014 15:06,1,3
625,\N,159.8,166.6,41.799395,-72.255974,<info><protocol>t55</protocol><battery>79</battery></info>,\N,11.22,2/18/2014 15:06,1,3
626,\N,162.3,0,41.799126,-72.255827,<info><protocol>t55</protocol><battery>79</battery></info>,\N,0.97,2/18/2014 15:06,1,3
627,\N,162.3,0,41.799126,-72.255827,<info><protocol>t55</protocol><battery>79</battery></info>,\N,0.97,2/18/2014 15:06,1,3
628,\N,162.4,0,41.799124,-72.255832,<info><protocol>t55</protocol><battery>79</battery></info>,\N,0.97,2/18/2014 15:06,1,3
629,\N,162.5,0,41.799125,-72.255833,<info><protocol>t55</protocol><battery>79</battery></info>,\N,0.97,2/18/2014 15:07,1,3
630,\N,162.3,66.3,41.799132,-72.255804,<info><protocol>t55</protocol><battery>79</battery></info>,\N,8.8,2/18/2014 15:07,1,3
631,\N,162.3,66.3,41.799132,-72.255804,<info><protocol>t55</protocol><battery>79</battery></info>,\N,8.8,2/18/2014 15:07,1,3
632,\N,162.1,65.8,41.799456,-72.255026,<info><protocol>t55</protocol><battery>79</battery></info>,\N,10.25,2/18/2014 15:07,1,3
633,\N,173,343.3,41.799718,-72.254642,<info><protocol>t55</protocol><battery>79</battery></info>,\N,8.8,2/18/2014 15:07,1,3
634,\N,170.4,288.3,41.799808,-72.255077,<info><protocol>t55</protocol><battery>79</battery></info>,\N,7.84,2/18/2014 15:08,1,3
635,\N,163.5,310.9,41.799958,-72.255249,<info><protocol>t55</protocol><battery>79</battery></info>,\N,3.89,2/18/2014 15:08,1,3
636,\N,163.5,310.9,41.799958,-72.255249,<info><protocol>t55</protocol><battery>79</battery></info>,\N,3.89,2/18/2014 15:08,1,3
637,\N,162.6,354,41.80044,-72.255333,<info><protocol>t55</protocol><battery>79</battery></info>,\N,7.78,2/18/2014 15:08,1,3
638,\N,165.9,347.4,41.801297,-72.255551,<info><protocol>t55</protocol><battery>79</battery></info>,\N,16.52,2/18/2014 15:08,1,3
639,\N,177.4,352.3,41.802001,-72.255713,<info><protocol>t55</protocol><battery>79</battery></info>,\N,10.69,2/18/2014 15:08,1,3
640,\N,181.4,1.6,41.802622,-72.255763,<info><protocol>t55</protocol><battery>79</battery></info>,\N,12.15,2/18/2014 15:09,1,3
641,\N,181.4,1.6,41.802622,-72.255763,<info><protocol>t55</protocol><battery>79</battery></info>,\N,12.15,2/18/2014 15:09,1,3
